STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
        722;18960809;    1;   0.9;   1;   0;-999;eor
        722;18960810;    1;   0.3;   1;   0;-999;eor
        722;18960811;    1;   0.7;   1;   0;-999;eor
        722;18960812;    1;  13.6;   1;   0;-999;eor
        722;18960813;    1;  23.7;   1;   0;-999;eor
        722;18960814;    1;  21.8;   1;   0;-999;eor
        722;18960815;    1;   0.7;   1;   0;-999;eor
        722;18960816;    1;  23.3;   1;   0;-999;eor
        722;18960817;    1;   5.3;   1;   0;-999;eor
        722;18960818;    1;   0.7;   1;   0;-999;eor
        722;18960819;    1;   7.4;   1;   0;-999;eor
        722;18960820;    1;   3.2;   1;   0;-999;eor
        722;18960821;    1;   0.0;   0;   0;-999;eor
        722;18960822;    1;  12.4;   1;   0;-999;eor
        722;18960823;    1;   1.2;   1;   0;-999;eor
        722;18960824;    1;  21.6;   1;   0;-999;eor
        722;18960825;    1;  13.4;   1;   0;-999;eor
        722;18960826;    1;  12.0;   1;   0;-999;eor
        722;18960827;    1;   0.0;   0;   0;-999;eor
        722;18960828;    1;   0.0;   0;   0;-999;eor
        722;18960829;    1;   0.0;   0;   0;-999;eor
        722;18960830;    1;   0.0;   0;   0;-999;eor
        722;18960831;    1;   5.3;   1;   0;-999;eor
        722;18960901;    1;   0.7;   1;   0;-999;eor
        722;18960902;    1;   5.2;   1;   0;-999;eor
        722;18960903;    1;   6.1;   1;   0;-999;eor
        722;18960904;    1;   0.0;   0;   0;-999;eor
        722;18960905;    1;   1.6;   1;   0;-999;eor
        722;18960906;    1;  15.8;   1;   0;-999;eor
        722;18960907;    1;   0.3;   1;   0;-999;eor
        722;18960908;    1;   0.0;   0;   0;-999;eor
        722;18960909;    1;   0.9;   1;   0;-999;eor
        722;18960910;    1;  20.7;   1;   0;-999;eor
        722;18960911;    1;   2.1;   1;   0;-999;eor
        722;18960912;    1;   0.0;   0;   0;-999;eor
        722;18960913;    1;   6.2;   1;   0;-999;eor
        722;18960914;    1;   5.6;   1;   0;-999;eor
        722;18960915;    1;   8.3;   1;   0;-999;eor
        722;18960916;    1;   3.6;   1;   0;-999;eor
        722;18960917;    1;   0.8;   1;   0;-999;eor
        722;18960918;    1;  24.1;   1;   0;-999;eor
        722;18960919;    1;   0.0;   0;   0;-999;eor
        722;18960920;    1;   4.2;   1;   0;-999;eor
        722;18960921;    1;   2.6;   1;   0;-999;eor
        722;18960922;    1;  21.6;   1;   0;-999;eor
        722;18960923;    1;  20.4;   1;   0;-999;eor
        722;18960924;    1;   3.3;   1;   0;-999;eor
        722;18960925;    1;   0.0;   0;   0;-999;eor
        722;18960926;    1;   0.0;   0;   0;-999;eor
        722;18960927;    1;  12.1;   1;   0;-999;eor
        722;18960928;    1;   6.8;   1;   0;-999;eor
        722;18960929;    1;   0.0;   0;   0;-999;eor
        722;18960930;    1;   3.1;   4;   0;-999;eor
        722;18961001;    1;   2.1;   4;   0;-999;eor
        722;18961002;    1;   0.3;   4;   0;-999;eor
        722;18961003;    1;   0.4;   4;   0;-999;eor
        722;18961004;    1;  15.2;   4;   0;-999;eor
        722;18961005;    1;   6.4;   4;   0;-999;eor
        722;18961006;    1;   0.2;   4;   0;-999;eor
        722;18961007;    1;   4.1;   4;   0;-999;eor
        722;18961008;    1;   0.0;   0;   0;-999;eor
        722;18961009;    1;   0.0;   0;   0;-999;eor
        722;18961010;    1;   0.3;   4;   0;-999;eor
        722;18961011;    1;   0.2;   4;   0;-999;eor
        722;18961012;    1;   2.0;   4;   0;-999;eor
        722;18961013;    1;   5.4;   4;   0;-999;eor
        722;18961014;    1;   3.7;   4;   0;-999;eor
        722;18961015;    1;   1.6;   4;   0;-999;eor
        722;18961016;    1;   0.1;   4;   0;-999;eor
        722;18961017;    1;   3.4;   4;   0;-999;eor
        722;18961018;    1;   7.4;   4;   4;-999;eor
        722;18961019;    1;  14.2;   4;   0;-999;eor
        722;18961020;    1;  16.5;   4;   0;-999;eor
        722;18961021;    1;  11.7;   4;   4;-999;eor
        722;18961022;    1;   1.6;   4;   0;-999;eor
        722;18961023;    1;   0.0;   0;   1;-999;eor
        722;18961024;    1;   0.0;   0;   0;-999;eor
        722;18961025;    1;   3.7;   4;   0;-999;eor
        722;18961026;    1;   1.0;   4;   0;-999;eor
        722;18961027;    1;   4.2;   4;   2;-999;eor
        722;18961028;    1;   5.5;   4;   1;-999;eor
        722;18961029;    1;   0.5;   4;   0;-999;eor
        722;18961030;    1;   0.0;   0;   0;-999;eor
        722;18961031;    1;   0.1;   4;   0;-999;eor
        722;18961101;    1;   2.2;   4;   0;-999;eor
        722;18961102;    1;   6.8;   4;   0;-999;eor
        722;18961103;    1;  18.8;   4;   3;-999;eor
        722;18961104;    1;   0.2;   4;   3;-999;eor
        722;18961105;    1;   0.0;   0;   2;-999;eor
        722;18961106;    1;   0.0;   0;   2;-999;eor
        722;18961107;    1;   0.0;   0;   2;-999;eor
        722;18961108;    1;   5.9;   4;   2;-999;eor
        722;18961109;    1;   4.3;   4;   6;-999;eor
        722;18961110;    1;   0.9;   4;   6;-999;eor
        722;18961111;    1;   5.6;   4;   4;-999;eor
        722;18961112;    1;   4.6;   4;   3;-999;eor
        722;18961113;    1;   0.0;   0;   5;-999;eor
        722;18961114;    1;   0.8;   4;   6;-999;eor
        722;18961115;    1;   0.1;   4;   4;-999;eor
        722;18961116;    1;   0.0;   0;   3;-999;eor
        722;18961117;    1;   0.0;   0;   0;-999;eor
        722;18961118;    1;   0.0;   0;   0;-999;eor
        722;18961119;    1;   5.6;   4;   0;-999;eor
        722;18961120;    1;   8.7;   4;   2;-999;eor
        722;18961121;    1;   7.2;   4;   5;-999;eor
        722;18961122;    1;   0.5;   4;  10;-999;eor
        722;18961123;    1;   0.1;   4;  10;-999;eor
        722;18961124;    1;   2.7;   4;  10;-999;eor
        722;18961125;    1;   0.0;   0;  10;-999;eor
        722;18961126;    1;   0.0;   0;   9;-999;eor
        722;18961127;    1;   0.7;   4;   4;-999;eor
        722;18961128;    1;   4.2;   4;   4;-999;eor
        722;18961129;    1;   5.5;   4;   6;-999;eor
